meshTags,count
N/A,82
"Humans, Opioid-Related Disorders, Male, Cross-Sectional Studies, Female, Middle Aged, Chronic Pain, Retrospective Studies, Checklist, Electronic Health Records, Adult, Natural Language Processing, Behavior, Addictive, Analgesics, Opioid, Aged",1
"Humans, Retrospective Studies, Male, Adolescent, Female, Referral and Consultation, Substance-Related Disorders, Mass Screening, Child, Mental Disorders, Outpatients, Ambulatory Care",1
"Humans, Aortic Dissection, United Kingdom, Tobacco Smoking, Prospective Studies, Female, Male, Risk Factors, Middle Aged, Biological Specimen Banks, Proportional Hazards Models, Smoking Cessation, Aged, Adult, UK Biobank",1
"Humans, Buprenorphine, Cross-Sectional Studies, Fentanyl, Male, Female, Practice Patterns, Physicians', Opioid-Related Disorders, Adult, Middle Aged, United States, Analgesics, Opioid, Narcotic Antagonists, Drug Prescriptions, Young Adult, Opiate Substitution Treatment, Adolescent, Dose-Response Relationship, Drug",1
"Humans, Male, Female, Non-alcoholic Fatty Liver Disease, Middle Aged, Nutrition Surveys, Retrospective Studies, Adult, Liver Cirrhosis, United States, Aged, Risk Factors, Platelet Count, Lymphocyte Count, Biomarkers, Cause of Death, Cardiovascular Diseases, Hemoglobins, Serum Albumin",1
"Humans, Female, Male, Mobile Applications, Adult, Middle Aged, Opioid-Related Disorders, Sociodemographic Factors, Substance-Related Disorders, Socioeconomic Factors, Missouri",1
"Humans, Female, Middle Aged, Retrospective Studies, Breast Neoplasms, Substance-Related Disorders, Adult, Early Detection of Cancer, Aged, Mammography",1
"Humans, Male, Pulmonary Disease, Chronic Obstructive, Female, Aged, Retrospective Studies, Spain, Middle Aged, Formoterol Fumarate, Treatment Outcome, Bronchodilator Agents, Administration, Inhalation, Glycopyrrolate, Lung, Budesonide, Adrenergic beta-2 Receptor Agonists, Drug Combinations, Time Factors, Severity of Illness Index, Aged, 80 and over, Drug Therapy, Combination, Muscarinic Antagonists",1
"Humans, Male, Dementia, Female, Emergency Service, Hospital, Middle Aged, Aged, Hospitalization, Ontario, Retrospective Studies, Aged, 80 and over, Cohort Studies, Cannabis, Risk Factors, Marijuana Abuse, Emergency Room Visits",1
"Humans, Pulmonary Disease, Chronic Obstructive, Male, Female, Cross-Sectional Studies, Middle Aged, Risk Factors, Smoking, Protective Factors, United States, Adult, Smokers, Aged, Nutrition Surveys, Databases, Factual, Risk Assessment, Comorbidity, Diet, Risk Reduction Behavior, Lung, Diet, Healthy",1
"Humans, Buprenorphine, United States, Male, Female, Opioid-Related Disorders, United States Department of Veterans Affairs, Middle Aged, Opiate Substitution Treatment, Veterans, Adult, Psychotherapy, Narcotic Antagonists",1
"Humans, Mendelian Randomization Analysis, Male, Risk Factors, Female, Nutrition Surveys, Stroke, Life Style, Middle Aged, Genome-Wide Association Study, Aged, Adult, Smoking, Exercise, Waist Circumference",1
"Animals, Dogs, Drug Overdose, Retrospective Studies, Poison Control Centers, Cats, Sulfonamides, Dog Diseases, Male, Cat Diseases, Female, Databases, Factual",1
"Humans, Arthritis, Psoriatic, Female, Male, Retrospective Studies, Antirheumatic Agents, Middle Aged, Risk Factors, Adult, Biological Products, Drug Substitution, Israel, Aged",1
"Humans, Male, Retrospective Studies, Female, Adult, Restraint, Physical, Prone Position, Middle Aged, United States, Risk Factors, Young Adult, Aged, Substance-Related Disorders, Databases, Factual, Adolescent, Heart Arrest, Obesity, Delirium, Sex Distribution, Law Enforcement, Body Mass Index",1
"Humans, Adult, United States, Middle Aged, Aged, Male, Adolescent, Cigarette Smoking, Female, Young Adult, Prevalence, Nutrition Surveys, Age Factors, Cohort Studies, Cohort Effect",1
"Humans, Male, Adult, Female, Alcoholism, Retrospective Studies, Middle Aged, Pre-Exposure Prophylaxis, HIV Infections, United States, Young Adult, Adolescent, Prevalence",1
"Humans, Amputation, Surgical, Male, Female, Middle Aged, Upper Extremity, Mental Disorders, Postoperative Complications, Adult, Aged, Incidence, Databases, Factual, Retrospective Studies",1
"Humans, Female, Pregnancy, Buprenorphine, Retrospective Studies, Adult, Opioid-Related Disorders, Pregnancy Outcome, Tennessee, Pregnancy Complications, Infant, Newborn, Opiate Substitution Treatment, United States, Medicaid, Young Adult",1
"Humans, Sweden, Male, Female, Adolescent, Health Status Disparities, Cause of Death, Educational Status, Mortality, Socioeconomic Factors, Young Adult, Cohort Studies, Logistic Models, Suicide, Drug Overdose",1
"Humans, Ill-Housed Persons, Substance-Related Disorders, Veterans, Male, Female, United States, Middle Aged, Mental Disorders, Adult, Multimorbidity, Mental Health, United States Department of Veterans Affairs, Aged",1
"Adult, Female, Humans, Infant, Newborn, Pregnancy, Black or African American, Fetal Death, Hospitals, Community, Infant Mortality, Logistic Models, Maryland, Prevalence, Retrospective Studies, Risk Factors, White",1
"Humans, Arthroplasty, Replacement, Knee, Female, Male, Pain, Postoperative, Analgesics, Opioid, United States, Nerve Block, Aged, Middle Aged, Databases, Factual, Opioid-Related Disorders, Retrospective Studies, Elective Surgical Procedures",1
"Adult, Aged, Female, Humans, Male, Middle Aged, Cardiovascular Diseases, Cohort Studies, Metabolic Syndrome, Proportional Hazards Models, Risk Factors, Smoking, Smoking Cessation, UK Biobank, United Kingdom",1
"Humans, Surgical Wound Infection, Male, Female, Retrospective Studies, Middle Aged, Injections, Intra-Articular, Reoperation, Databases, Factual, Trigger Finger Disorder, Aged, Adult, Carpal Tunnel Syndrome, Surgical Wound Dehiscence, Adrenal Cortex Hormones, Preoperative Care, Incidence",1
"Humans, Male, Female, Opioid-Related Disorders, Adult, Retrospective Studies, Mental Disorders, Middle Aged, United States, Opiate Substitution Treatment, Buprenorphine, Methadone, Naltrexone, Medicaid, Young Adult, Narcotic Antagonists",1
"Humans, Female, Urethral Neoplasms, Middle Aged, Aged, Neoplasm Staging, SEER Program, Survival Rate, Retrospective Studies, Carcinoma, Transitional Cell",1
"Humans, Male, Female, Middle Aged, United States, Postoperative Complications, Aged, Risk Factors, Hospital Mortality, Length of Stay, Adult, Databases, Factual, Treatment Outcome, Hospital Charges, Biliary Tract Surgical Procedures, Risk Assessment, Marijuana Use",1
"Humans, Analgesics, Opioid, Retrospective Studies, Guideline Adherence, Male, Practice Patterns, Physicians', Female, Middle Aged, Academic Medical Centers, Family Practice, Practice Guidelines as Topic, Adult, Quality Improvement, Electronic Health Records, Drug Prescriptions, Aged, Opioid-Related Disorders, Primary Health Care, Substance Abuse Detection",1
